summary_bit,name,derivation
B3/256,MCS OK,MCS OK B3/256 = B3/240*B3/241
B3/257,CRCS OK,CRCS OK B3/257 = B3/242*B3/243*B3/244
B3/258,ECS OK,ECS OK B3/258 = B3/245*B3/246
B3/259,HBS OK,HBS OK B3/259 = TBD
B3/260,MC OK,MC OK B3/260 = B3/133
B3/261,Pins OK,Pins OK B3/261 = B3/111
B3/262,Lights OK,Lights OK B3/262 = B3/82
B3/263,IC OK,IC OK B3/263 = B3/134
B3/264,LOTO OK,LOTO OK B3/264 = B3/247
B3/265,AZ Faults OK,AZ Faults OK B3/265
B3/266,EL Faults OK,EL Faults OK B3/266
B3/267,PLC OK,PLC OK B3/267 = B3/132
B3/268,EMO/PLX OK,EMO/PLX OK B3/268 = B3/130*B3/131
