screen,order,kind,pv,plc_bit,label,links_to,design_description,review,source
az,0,summary,bfo:azStatus,B3/265,AZ: Detailed Conditions for Transfer,,,,as-built
az,1,condition,bfo:cond4bits.B5,B3/117,2T jib crane in park position,,2T Jib crane in park position,,as-built
az,2,condition,bfo:cond4bits.B0,B3/112,Telescope AZ overtravel limits OK,,Telescope AZ overtravel limits OK,,as-built
az,3,condition,bfo:cond4bits.B2,B3/114,"M1 Cell Lights Off, Terex & 50T cranes parked, handcranks not engaged",,M1 cell light OFF & Terex And 50T crane parked and handcranks not engaged,,as-built
az,4,condition,bfo:cond4bits.B6,B3/118,Telescope Maintenance Brackets in Observing position,,Telescope Obs/Maint brackets in Observing position,,as-built
az,5,condition,bfo:cond4bits.B3,B3/115,Telescope AZ Wrap limints OK,,Telescope AZ Wrap limits OK,,as-built
overview,0,summary,bfo:mcsStatus,B3/256,MCS:,mcs_detail,,,as-built
overview,1,summary,bfo:pinStatus,B3/261,Locking Pins:,pin_detail,,,as-built
overview,2,summary,bfo:azStatus,B3/265,Az Faults:,az_detail,,,as-built
overview,3,summary,bfo:elStatus,B3/266,El Faults:,el_detail,,,as-built
overview,4,summary,bfo:crcsStatus,B3/257,CRCS:,crcs_detail,,,as-built
overview,5,summary,bfo:icStatus,B3/263,Instr Cover:,ic_detail,,,as-built
overview,6,summary,bfo:ecsStatus,B3/258,ECS:,ecs_detail,,,as-built
overview,7,summary,bfo:mcStatus,B3/260,M1 Cover:,mc_detail,,,as-built
overview,8,summary,bfo:lotoStatus,B3/264,LOTO:,loto_detail,,,as-built
overview,9,summary,bfo:hbsStatus,B3/259,HBS:,hbs_detail,,,as-built
overview,10,summary,bfo:emoStatus,B3/268,E-Stop:,emo_detail,,,as-built
crcs,0,summary,bfo:crcsStatus,B3/257,CRCS: Detailed Conditions for Transfer,,,,as-built
crcs,1,condition,bfo:cond3bits.B6,B3/102,Rotator Auto mode Init step,,CRCS Rotator Auto mode Init step,,as-built
crcs,2,condition,bfo:cond4bits.BC,B3/124,Rotator CW EOT no fault,,CRCS Rotator CW EOT no fault,,as-built
crcs,3,condition,bfo:cond3bits.B7,B3/103,Wrap Auto mode Init step,,CRCS Wrap Auto mode Init step,,as-built
crcs,4,condition,bfo:cond4bits.BD,B3/125,Rotator CCW EOT no fault,,CRCS Rotator CCW EOT no fault,,as-built
crcs,5,condition,bfo:cond3bits.B8,B3/104,Rotator/Wrap Manual mode Init step,,CRCS Rotator/Wrap Manual mode Init step,,as-built
crcs,6,condition,bfo:cond4bits.BE,B3/126,Wrap Servo Drives no fault,,CRCS Wrap Servo drives no fault,,as-built
crcs,7,condition,bfo:cond4bits.B9,B3/121,PMAC no fault,,CRCS PMAC no fault,,as-built
crcs,8,condition,bfo:cond4bits.BF,B3/127,Wrap DC bus no fault,,CRCS Wrap DC busno fault,,as-built
crcs,9,condition,bfo:cond4bits.BA,B3/122,Rotator Servo Drives no fault,,CRCS Rotator Servo drives no fault,,as-built
crcs,10,condition,bfo:cond5bits.B0,B3/128,Wrap CW EOT no fault,,CRCS Wrap CW EOT no fault,,as-built
crcs,11,condition,bfo:cond4bits.BB,B3/123,Rotator DC bus no fault,,CRCS Rotator DC busno fault,,as-built
crcs,12,condition,bfo:cond5bits.B1,B3/129,Wrap CCW EOT no fault,,CRCS Wrap CCW EOT no fault,,as-built
ecs,0,summary,bfo:ecsStatus,B3/258,ECS: Detailed Conditions for Transfer,,,,as-built
ecs,1,condition,bfo:cond1bits.B0,B3/64,Top Shutter Power seq Init step,,Top shutter Power seq Init step,,as-built
ecs,2,condition,bfo:cond2bits.B0,B3/80,East Vent Gate Closed,,East VGate closed I:31/03,,as-built
ecs,3,condition,bfo:cond1bits.B1,B3/65,Bottom Shutter Power seq Init step,,Bottom shutter Power seq Init step,,as-built
